country_iso3,overall_score,core_pillars_available,status,AI_Literacy_score,AI_Literacy_coverage,Critical_Discernment_score,Critical_Discernment_coverage,Institutional_Governance_score,Institutional_Governance_coverage,Digital_Infrastructure_score,Digital_Infrastructure_coverage
HUN,0.21952164965287002,4,Limited capacity,0.22323285288666966,1.0,0.2550439150923844,1.0,0.1180812573672461,1.0,0.28172857326518,1.0
IRL,0.7002763904318002,4,Moderate capacity,0.7277628791271505,1.0,0.686588185279625,1.0,0.6450631702839276,1.0,0.7416913270364981,1.0
ISL,0.6817318652236181,4,Moderate capacity,0.5151175738453329,1.0,0.7421632408828472,1.0,0.7558604871920813,1.0,0.7137861589742108,1.0
ISR,0.5718093736407341,4,Developing capacity,0.5916872588006103,1.0,0.6328412867219207,1.0,0.40222033203662927,1.0,0.6604886170037764,1.0
ITA,0.3769365996806372,4,Limited capacity,0.29229175863929396,1.0,0.37604629215517743,1.0,0.3179047455293008,1.0,0.5215036023987766,1.0
JPN,0.7512716244145592,4,Moderate capacity,0.8240634531014669,1.0,0.722402564684837,1.0,0.6702020792536718,1.0,0.7884184006182615,1.0
KOR,0.7450988405043523,4,Moderate capacity,0.8204387543645123,1.0,0.7084984113866323,1.0,0.5923137465546806,1.0,0.8591444497115835,1.0
LTU,0.347551471900168,4,Limited capacity,0.40188979265263985,1.0,0.2932754323366107,1.0,0.34872860139206907,1.0,0.34631206121935243,1.0
LUX,0.6520872636701306,4,Moderate capacity,0.5479372821946564,1.0,0.5344312122010125,1.0,0.8365363409956676,1.0,0.6894442192891856,1.0
LVA,0.38604263877763195,4,Limited capacity,0.3507913021884407,1.0,0.4178101107022097,1.0,0.42160906670771203,1.0,0.3539600755121654,1.0
MKD,0.04228085706936251,4,Limited capacity,0.021145538090715676,1.0,0.07347809821171362,1.0,0.05332332138678518,1.0,0.02117647058823556,1.0
MLT,0.35799305580118007,4,Limited capacity,0.3234248789272335,1.0,0.4915825412791122,1.0,0.20700132894364462,1.0,0.40996347405473,1.0
NLD,0.7969640260546462,4,Moderate capacity,0.8524545531338172,1.0,0.7683677629745489,1.0,0.8118826536563759,1.0,0.7551511344538426,1.0
NOR,0.8646630030930818,4,Strong capacity,0.7847155988453747,1.0,0.8828749324359958,1.0,0.8736232094860183,1.0,0.9174382716049383,1.0
NZL,0.623777161497481,4,Moderate capacity,0.56891912800565,1.0,0.5873865065848279,1.0,0.8041917924272276,1.0,0.5346112189722181,1.0
POL,0.3435656419564108,4,Limited capacity,0.2893706834925219,1.0,0.39186115351971146,1.0,0.28791011524789556,1.0,0.40512061556551443,1.0
PRT,0.385003373018468,4,Limited capacity,0.24681545323413417,1.0,0.3720865427168824,1.0,0.4858642393675778,1.0,0.43524725675527753,1.0
ROU,0.09671467719603535,4,Limited capacity,0.050235546606667174,1.0,0.0221735880682554,1.0,0.1929900135730155,1.0,0.12145956053620335,1.0
SGP,0.8336284396250573,4,Strong capacity,0.9251113492035145,1.0,0.8885632511324499,1.0,0.6332122557517182,1.0,0.8876269024125465,1.0
SVK,0.2287590605519838,4,Limited capacity,0.2077385688079793,1.0,0.1970926343610355,1.0,0.21204557529173376,1.0,0.29815946374718666,1.0
SVN,0.4213378978781426,4,Developing capacity,0.4218491901716177,1.0,0.43836343073555367,1.0,0.3335870392171848,1.0,0.49155193138821396,1.0
SWE,0.7843411664265934,4,Moderate capacity,0.6936519615654065,1.0,0.8394631193907512,1.0,0.8934724484621792,1.0,0.7107771362880362,1.0
USA,0.6717751515908931,4,Moderate capacity,0.5182093026652995,1.0,0.5534677584515161,1.0,0.6952282274346666,1.0,0.9201953178120901,1.0
