country_iso3,country_name,indicator_id,value,year,unit,source_id,status,coverage_notes
AUT,Austria,DEC_AGY_004,0.82,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
AUT,Austria,DEC_AGY_005,0.806,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
AUT,Austria,ENAB_001,79.65,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
AUT,Austria,ENAB_002,0.779,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
AUT,Austria,ENAB_003,92.1,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
AUT,Austria,ENAB_004,0.843,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
AUT,Austria,ENAB_005,83.4,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
AUT,Austria,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
AUT,Austria,ATT_WELL_001,6.5,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
AUT,Austria,ATT_WELL_002,18.2,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
BEL,Belgium,AI_LIT_001,295.1,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
BEL,Belgium,AI_LIT_002,526.1,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
BEL,Belgium,AI_LIT_004,34.7,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
BEL,Belgium,AI_LIT_005,84.1,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
BEL,Belgium,META_COG_001,502.6,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
BEL,Belgium,META_COG_002,72.0,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
BEL,Belgium,META_COG_003,60.1,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
BEL,Belgium,DEC_AGY_001,4.21,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
BEL,Belgium,DEC_AGY_002,0.812,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
BEL,Belgium,DEC_AGY_003,91.9,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
BEL,Belgium,DEC_AGY_004,0.835,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
BEL,Belgium,DEC_AGY_005,0.769,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
BEL,Belgium,ENAB_001,79.79,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
BEL,Belgium,ENAB_002,0.777,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
BEL,Belgium,ENAB_003,91.1,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
BEL,Belgium,ENAB_004,0.852,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
BEL,Belgium,ENAB_005,83.8,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
BEL,Belgium,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
BEL,Belgium,ATT_WELL_001,5.9,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
BEL,Belgium,ATT_WELL_002,16.9,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
BGR,Bulgaria,AI_LIT_001,,2022,points,PIAAC_OECD,Missing,Did not participate in OECD PIAAC Problem Solving (PSTRE) module
BGR,Bulgaria,AI_LIT_002,502.4,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
BGR,Bulgaria,AI_LIT_004,32.3,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
BGR,Bulgaria,AI_LIT_005,77.4,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
BGR,Bulgaria,META_COG_001,482.6,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
BGR,Bulgaria,META_COG_002,67.9,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
BGR,Bulgaria,META_COG_003,55.5,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
BGR,Bulgaria,DEC_AGY_001,3.81,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
BGR,Bulgaria,DEC_AGY_002,0.718,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
BGR,Bulgaria,DEC_AGY_003,80.2,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
BGR,Bulgaria,DEC_AGY_004,0.707,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
BGR,Bulgaria,DEC_AGY_005,0.732,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
BGR,Bulgaria,ENAB_001,73.75,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
BGR,Bulgaria,ENAB_002,0.748,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
BGR,Bulgaria,ENAB_003,86.8,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
BGR,Bulgaria,ENAB_004,0.837,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
BGR,Bulgaria,ENAB_005,76.1,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
BGR,Bulgaria,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
BGR,Bulgaria,ATT_WELL_001,5.8,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
BGR,Bulgaria,ATT_WELL_002,14.9,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
CAN,Canada,AI_LIT_001,304.9,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
CAN,Canada,AI_LIT_002,530.6,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
CAN,Canada,AI_LIT_004,35.0,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
CAN,Canada,AI_LIT_005,83.3,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
CAN,Canada,META_COG_001,509.5,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
CAN,Canada,META_COG_002,,2023,index,EMLI_CouncilEurope,Missing,Non-European economy: not surveyed in Council of Europe / OSIS EMLI index
CAN,Canada,META_COG_003,68.3,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
CAN,Canada,DEC_AGY_001,4.4,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
CAN,Canada,DEC_AGY_002,0.839,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
CAN,Canada,DEC_AGY_003,92.3,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
CAN,Canada,DEC_AGY_004,0.888,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
CAN,Canada,DEC_AGY_005,0.868,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
CAN,Canada,ENAB_001,80.08,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
CAN,Canada,ENAB_002,0.802,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
CAN,Canada,ENAB_003,92.9,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
CAN,Canada,ENAB_004,0.869,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
CAN,Canada,ENAB_005,82.8,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
CAN,Canada,CAL_TRUST_001,60.4,2023,index,KPMG_AI_Trust,Observed,KPMG Trust in AI survey
CAN,Canada,ATT_WELL_001,6.9,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
CAN,Canada,ATT_WELL_002,20.5,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
CYP,Cyprus,AI_LIT_001,,2022,points,PIAAC_OECD,Missing,Did not participate in OECD PIAAC Problem Solving (PSTRE) module
CYP,Cyprus,AI_LIT_002,505.6,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
CYP,Cyprus,AI_LIT_004,32.7,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
CYP,Cyprus,AI_LIT_005,79.9,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
CYP,Cyprus,META_COG_001,493.2,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
CYP,Cyprus,META_COG_002,70.3,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
CYP,Cyprus,META_COG_003,,2023,points,REUTERS_2023,Missing,Unsurveyed in Reuters Institute Digital News Report sample
CYP,Cyprus,DEC_AGY_001,3.99,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
CYP,Cyprus,DEC_AGY_002,0.72,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
CYP,Cyprus,DEC_AGY_003,84.1,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
CYP,Cyprus,DEC_AGY_004,0.802,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
CYP,Cyprus,DEC_AGY_005,,2023,index,STANFORD_AI_Index,Missing,No standalone national legislative tracker in Stanford HAI Index
CYP,Cyprus,ENAB_001,73.87,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
CYP,Cyprus,ENAB_002,0.737,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
CYP,Cyprus,ENAB_003,88.0,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
CYP,Cyprus,ENAB_004,0.814,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
CYP,Cyprus,ENAB_005,79.2,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
CYP,Cyprus,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
CYP,Cyprus,ATT_WELL_001,5.8,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
CYP,Cyprus,ATT_WELL_002,16.2,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
CZE,Czech Republic,AI_LIT_001,296.3,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
CZE,Czech Republic,AI_LIT_002,523.9,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
CZE,Czech Republic,AI_LIT_004,33.3,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
CZE,Czech Republic,AI_LIT_005,81.2,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
CZE,Czech Republic,META_COG_001,503.3,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
CZE,Czech Republic,META_COG_002,72.4,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
CZE,Czech Republic,META_COG_003,63.3,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
CZE,Czech Republic,DEC_AGY_001,4.1,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
CZE,Czech Republic,DEC_AGY_002,0.829,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
CZE,Czech Republic,DEC_AGY_003,86.6,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
CZE,Czech Republic,DEC_AGY_004,0.821,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
CZE,Czech Republic,DEC_AGY_005,0.865,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
CZE,Czech Republic,ENAB_001,76.01,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
CZE,Czech Republic,ENAB_002,0.756,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
CZE,Czech Republic,ENAB_003,90.1,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
CZE,Czech Republic,ENAB_004,0.816,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
CZE,Czech Republic,ENAB_005,78.9,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
CZE,Czech Republic,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
CZE,Czech Republic,ATT_WELL_001,6.2,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
CZE,Czech Republic,ATT_WELL_002,19.5,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
DNK,Denmark,AI_LIT_001,308.1,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
DNK,Denmark,AI_LIT_002,538.2,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
DNK,Denmark,AI_LIT_004,35.4,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
DNK,Denmark,AI_LIT_005,87.1,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
DNK,Denmark,META_COG_001,512.6,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
DNK,Denmark,META_COG_002,76.6,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
DNK,Denmark,META_COG_003,68.3,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
DNK,Denmark,DEC_AGY_001,4.65,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
DNK,Denmark,DEC_AGY_002,0.893,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
DNK,Denmark,DEC_AGY_003,97.3,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
DNK,Denmark,DEC_AGY_004,0.95,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
DNK,Denmark,DEC_AGY_005,0.878,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
DNK,Denmark,ENAB_001,81.79,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
DNK,Denmark,ENAB_002,0.784,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
DNK,Denmark,ENAB_003,95.0,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
DNK,Denmark,ENAB_004,0.885,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
DNK,Denmark,ENAB_005,83.7,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
DNK,Denmark,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
DNK,Denmark,ATT_WELL_001,8.1,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
DNK,Denmark,ATT_WELL_002,20.2,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
EST,Estonia,AI_LIT_001,304.8,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
EST,Estonia,AI_LIT_002,535.3,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
EST,Estonia,AI_LIT_004,35.7,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
EST,Estonia,AI_LIT_005,86.2,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
EST,Estonia,META_COG_001,517.8,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
EST,Estonia,META_COG_002,76.0,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
EST,Estonia,META_COG_003,63.0,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
EST,Estonia,DEC_AGY_001,4.39,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
EST,Estonia,DEC_AGY_002,0.815,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
EST,Estonia,DEC_AGY_003,92.6,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
EST,Estonia,DEC_AGY_004,0.874,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
EST,Estonia,DEC_AGY_005,0.812,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
EST,Estonia,ENAB_001,81.88,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
EST,Estonia,ENAB_002,0.801,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
EST,Estonia,ENAB_003,93.6,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
EST,Estonia,ENAB_004,0.883,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
EST,Estonia,ENAB_005,83.4,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
EST,Estonia,CAL_TRUST_001,61.0,2023,index,KPMG_AI_Trust,Observed,KPMG Trust in AI survey
EST,Estonia,ATT_WELL_001,6.4,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
EST,Estonia,ATT_WELL_002,21.8,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
FIN,Finland,AI_LIT_001,307.8,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
FIN,Finland,AI_LIT_002,541.8,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
FIN,Finland,AI_LIT_004,35.7,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
FIN,Finland,AI_LIT_005,90.5,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
FIN,Finland,META_COG_001,522.7,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
FIN,Finland,META_COG_002,83.7,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
FIN,Finland,META_COG_003,68.7,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
FIN,Finland,DEC_AGY_001,4.49,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
FIN,Finland,DEC_AGY_002,0.889,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
FIN,Finland,DEC_AGY_003,94.3,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
FIN,Finland,DEC_AGY_004,0.926,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
FIN,Finland,DEC_AGY_005,0.897,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
FIN,Finland,ENAB_001,81.0,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
FIN,Finland,ENAB_002,0.796,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
FIN,Finland,ENAB_003,93.9,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
FIN,Finland,ENAB_004,0.851,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
FIN,Finland,ENAB_005,85.0,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
FIN,Finland,CAL_TRUST_001,,2023,index,KPMG_AI_Trust,Missing,Economy not surveyed in KPMG-Melbourne 2023 17-country study wave
FIN,Finland,ATT_WELL_001,8.0,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
FIN,Finland,ATT_WELL_002,16.5,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
FRA,France,AI_LIT_001,299.7,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
FRA,France,AI_LIT_002,520.3,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
FRA,France,AI_LIT_004,34.0,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
FRA,France,AI_LIT_005,84.5,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
FRA,France,META_COG_001,501.0,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
FRA,France,META_COG_002,73.4,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
FRA,France,META_COG_003,63.7,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
FRA,France,DEC_AGY_001,4.18,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
FRA,France,DEC_AGY_002,0.828,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
FRA,France,DEC_AGY_003,91.2,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
FRA,France,DEC_AGY_004,0.857,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
FRA,France,DEC_AGY_005,0.853,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
FRA,France,ENAB_001,77.75,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
FRA,France,ENAB_002,0.769,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
FRA,France,ENAB_003,92.3,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
FRA,France,ENAB_004,0.851,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
FRA,France,ENAB_005,83.2,2023,index,WEF_TECHADOPT,Observed,WEF Global Competitiveness & Technology Adoption
FRA,France,CAL_TRUST_001,69.0,2023,index,KPMG_AI_Trust,Observed,KPMG Trust in AI survey
FRA,France,ATT_WELL_001,7.5,2023,hours,SCREENTIME_Owlnut,Observed,Owlnut Digital Screen Time
FRA,France,ATT_WELL_002,19.6,2023,%,WELLBEING_WHO,Observed,WHO Mental Health Atlas prevalence estimate
DEU,Germany,AI_LIT_001,315.1,2022,points,PIAAC_OECD,Observed,Official OECD PIAAC / national survey calibrated
DEU,Germany,AI_LIT_002,531.4,2022,points,PISA_OECD,Observed,PISA 2022 Digital Reading volume
DEU,Germany,AI_LIT_004,34.9,2023,%,UNESCO_STEM,Observed,UNESCO UIS Tertiary database
DEU,Germany,AI_LIT_005,84.1,2023,index,ITU_SKILLS,Observed,ITU Digital Development dashboard
DEU,Germany,META_COG_001,502.9,2022,points,PISA_FACTOPIN_OECD,Observed,PISA 2022 epistemic discernment item set
DEU,Germany,META_COG_002,74.9,2023,index,EMLI_CouncilEurope,Observed,EMLI / OSIS Media Literacy Assessment
DEU,Germany,META_COG_003,63.2,2023,points,REUTERS_2023,Observed,Reuters Institute Digital News Report
DEU,Germany,DEC_AGY_001,4.4,2023,index,WGI_WorldBank,Observed,Worldwide Governance Indicators aggregate
DEU,Germany,DEC_AGY_002,0.838,2023,index,VDEM_Vdem,Observed,Varieties of Democracy Liberal Democracy Index
DEU,Germany,DEC_AGY_003,89.8,2023,points,FREEDOM_House,Observed,Freedom in the World aggregate score
DEU,Germany,DEC_AGY_004,0.864,2023,index,OECD_AI_Policy,Observed,OECD.AI National AI Strategies and Policy tracker
DEU,Germany,DEC_AGY_005,0.839,2023,index,STANFORD_AI_Index,Observed,HAI Stanford AI Index regulatory legislation tracker
DEU,Germany,ENAB_001,80.38,2023,index,OXFORD_AI,Observed,Oxford Insights Government AI Readiness report
DEU,Germany,ENAB_002,0.777,2023,index,IMF_AI,Observed,IMF AI Preparedness Index (AI-PI)
DEU,Germany,ENAB_003,92.1,2023,index,ITU_DEVELOP,Observed,ITU IDI Connectivity Readiness score
DEU,Germany,ENAB_004,0.874,2023,index,WBDIGITAL_WB,Observed,World Bank Digital Adoption Index
