,expert,platform,model_based,lab,skeptical
2036,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2037,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2038,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2039,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}",,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2040,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}",,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2041,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}",,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2042,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}",,"{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2043,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}",,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2044,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}",,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2045,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}",,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}","{'capability_level': 'D', 'exposure_multiplier': 3.0, 'confidence': 0.7}"
2046,,,"{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'F', 'exposure_multiplier': 10.0, 'confidence': 0.7}","{'capability_level': 'E', 'exposure_multiplier': 5.0, 'confidence': 0.7}"
