country_iso3,AI_Literacy_score,AI_Literacy_coverage,AI_Literacy_available,Critical_Discernment_score,Critical_Discernment_coverage,Critical_Discernment_available,Institutional_Governance_score,Institutional_Governance_coverage,Institutional_Governance_available,Digital_Infrastructure_score,Digital_Infrastructure_coverage,Digital_Infrastructure_available,overall_score,status
GBR,0.5132239539305182,1.0,4,0.8216337156701448,1.0,3,0.7151582143057593,1.0,5,0.7319703848912841,1.0,5,0.6954965671994265,Moderate capacity
GRC,0.2400680160248097,1.0,4,0.17705499525898935,1.0,3,0.21611444423827572,1.0,5,0.23659068775776043,1.0,5,0.2174570358199588,Limited capacity
HKG,0.8429435288611243,1.0,4,0.6101297565790953,1.0,3,0.09831352271345316,1.0,5,0.7426426212374636,1.0,5,0.5735073573477841,Developing capacity
HUN,0.22323285288666975,1.0,4,0.2550439150923844,1.0,3,0.11808125736724615,1.0,5,0.2817285732651801,1.0,5,0.2195216496528701,Limited capacity
IRL,0.7277628791271505,1.0,4,0.686588185279625,1.0,3,0.6450631702839276,1.0,5,0.7416913270364981,1.0,5,0.7002763904318002,Moderate capacity
ISL,0.5151175738453329,1.0,4,0.7421632408828472,1.0,3,0.7558604871920813,1.0,5,0.7137861589742108,1.0,5,0.6817318652236181,Moderate capacity
ISR,0.5916872588006103,1.0,4,0.6328412867219207,1.0,3,0.40222033203662927,1.0,5,0.6604886170037764,1.0,5,0.5718093736407341,Developing capacity
ITA,0.292291758639294,1.0,4,0.3760462921551775,1.0,3,0.3179047455293008,1.0,5,0.5215036023987766,1.0,5,0.3769365996806372,Limited capacity
JPN,0.8240634531014668,1.0,4,0.722402564684837,1.0,3,0.6702020792536718,1.0,5,0.7884184006182615,1.0,5,0.7512716244145592,Moderate capacity
KOR,0.8204387543645123,1.0,4,0.7084984113866323,1.0,3,0.5923137465546806,1.0,5,0.8591444497115835,1.0,5,0.7450988405043523,Moderate capacity
LTU,0.4018897926526399,1.0,4,0.29327543233661074,1.0,3,0.3487286013920691,1.0,5,0.34631206121935243,1.0,5,0.34755147190016805,Limited capacity
LUX,0.5479372821946564,1.0,4,0.5344312122010125,1.0,3,0.8365363409956676,1.0,5,0.6894442192891856,1.0,5,0.6520872636701306,Moderate capacity
LVA,0.3507913021884407,1.0,4,0.4178101107022097,1.0,3,0.42160906670771203,1.0,5,0.3539600755121654,1.0,5,0.38604263877763195,Limited capacity
MKD,0.02114553809071573,1.0,4,0.07347809821171368,1.0,3,0.053323321386785215,1.0,5,0.021176470588235574,1.0,5,0.04228085706936255,Limited capacity
MLT,0.3234248789272335,1.0,4,0.4915825412791122,1.0,3,0.20700132894364467,1.0,5,0.40996347405473,1.0,5,0.3579930558011801,Limited capacity
NLD,0.8524545531338172,1.0,4,0.7683677629745489,1.0,3,0.8118826536563759,1.0,5,0.7551511344538426,1.0,5,0.7969640260546462,Moderate capacity
NOR,0.7847155988453747,1.0,4,0.8828749324359958,1.0,3,0.8736232094860183,1.0,5,0.9174382716049383,1.0,5,0.8646630030930818,Strong capacity
NZL,0.56891912800565,1.0,4,0.5873865065848279,1.0,3,0.8041917924272276,1.0,5,0.5346112189722181,1.0,5,0.623777161497481,Moderate capacity
POL,0.28937068349252193,1.0,4,0.39186115351971146,1.0,3,0.2879101152478956,1.0,5,0.40512061556551443,1.0,5,0.34356564195641087,Limited capacity
PRT,0.24681545323413417,1.0,4,0.37208654271688246,1.0,3,0.4858642393675778,1.0,5,0.43524725675527753,1.0,5,0.385003373018468,Limited capacity
ROU,0.050235546606667215,1.0,4,0.02217358806825545,1.0,3,0.19299001357301554,1.0,5,0.12145956053620335,1.0,5,0.09671467719603538,Limited capacity
SGP,0.9251113492035143,1.0,4,0.88856325113245,1.0,3,0.6332122557517182,1.0,5,0.8876269024125465,1.0,5,0.8336284396250573,Strong capacity
SVK,0.20773856880797936,1.0,4,0.19709263436103552,1.0,3,0.2120455752917338,1.0,5,0.29815946374718666,1.0,5,0.22875906055198386,Limited capacity
SVN,0.4218491901716177,1.0,4,0.43836343073555367,1.0,3,0.3335870392171848,1.0,5,0.49155193138821396,1.0,5,0.4213378978781426,Developing capacity
SWE,0.6936519615654066,1.0,4,0.8394631193907512,1.0,3,0.8934724484621791,1.0,5,0.7107771362880362,1.0,5,0.7843411664265932,Moderate capacity
USA,0.5182093026652995,1.0,4,0.5534677584515161,1.0,3,0.6952282274346666,1.0,5,0.9201953178120901,1.0,5,0.6717751515908931,Moderate capacity
