,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DEU_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
DEU_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
DEU_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
DNK_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
DNK_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
DNK_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
ESP_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
ESP_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
ESP_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
EST_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
EST_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
EST_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
FIN_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
FIN_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
FIN_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
FRA_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
FRA_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
FRA_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
GBR_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
GBR_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
GBR_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
GRC_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
GRC_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
GRC_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
HKG_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
HKG_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
HKG_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
HUN_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
HUN_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
HUN_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
IRL_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
IRL_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
IRL_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
ISL_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
ISL_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
ISL_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
ISR_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
ISR_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
ISR_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
ITA_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
ITA_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
ITA_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
JPN_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
JPN_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
JPN_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
KOR_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
KOR_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
KOR_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
LTU_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
LTU_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
LTU_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
LUX_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
LUX_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
LUX_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
LVA_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
LVA_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
LVA_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
MKD_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
MKD_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
MKD_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
MLT_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
MLT_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
MLT_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
NLD_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
NLD_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
NLD_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
NOR_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
NOR_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
NOR_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
NZL_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
NZL_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
NZL_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
POL_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
POL_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
POL_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
PRT_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
PRT_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
PRT_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
ROU_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
ROU_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
ROU_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
SGP_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
SGP_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
SGP_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
SVK_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
SVK_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
SVK_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
SVN_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
SVN_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
SVN_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
SWE_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
SWE_moderate,0.5,0.5199,0.5396,0.5591,0.5784,0.5975,0.6164,0.6351,0.6536,0.6718999999999999,0.69,0.7079,0.7256,0.7431,0.7604,0.7775000000000001,0.7944,0.8111,0.8276,0.8439000000000001,0.8600000000000001
SWE_fast,0.5,0.52985,0.5594,0.58865,0.6176,0.64625,0.6746,0.70265,0.7303999999999999,0.75785,0.7849999999999999,0.81185,0.8384,0.86465,0.8906,0.91625,0.9416,0.96665,0.9914000000000001,1.0,1.0
USA_slow,0.5,0.50995,0.5198,0.52955,0.5392,0.54875,0.5582,0.56755,0.5768,0.58595,0.595,0.60395,0.6128,0.62155,0.6302,0.63875,0.6472,0.6555500000000001,0.6638,0.67195,0.68
